XID,Product_Name,Product_Number,Product_URL,Product_SKU,Product_Inventory_Link,Product_Inventory_Status,Product_Inventory_Quantity,Product_IsHazmat,Product_IsCloseOut,Description,Summary,Prod_Image,Catalog_Information,Product_Type,Category,DoNotUse_ASI_Categories,Keywords,Product_Color,Material,Size_Group,Size_Values,Shape,Theme,Tradename,Origin,Option_Type,Option_Name,Option_Values,Can_order_only_one,Req_for_order,Option_Additional_Info,Imprint_Method,Linename,Artwork,Imprint_Color,Sold_Unimprinted,Personalization,Imprint_Size,Imprint_Location,Additional_Color,Additional_Location,Product_Sample,Spec_Sample,Production_Time,Rush_Service,Rush_Time,Same_Day_Service,Packaging,Shipping_Items,Shipping_Dimensions,Shipping_Weight,Shipper_Bills_By,Shipping_Info,Ship_Plain_Box,Free_Shipping,Comp_Cert,Product_Data_Sheet,Prop65Applicable,Prop65Warnings,Prop65Chemicals,Prop65AdditionalInfo,Safety_Warnings,Additional_Info,Distributor_Only,Disclaimer,Base_Price_Name,Base_Price_Criteria_1,Base_Price_Criteria_2,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Product_Number_Price,Price_Includes,QUR_Flag,Sequence,Currency,Always_Free_Setup,Less_Than_Min,Price_Type,Upcharge_Name,Upcharge_Criteria_1,Upcharge_Criteria_2,Upcharge_Type,Upcharge_Level,Service_Charge,UQ1,UQ2,UQ3,UQ4,UQ5,UQ6,UQ7,UQ8,UQ9,UQ10,UP1,UP2,UP3,UP4,UP5,UP6,UP7,UP8,UP9,UP10,UD1,UD2,UD3,UD4,UD5,UD6,UD7,UD8,UD9,UD10,Upcharge_Details,U_QUR_Flag,Confirmed_Thru_Date,Product_Number_Criteria_1,Product_Number_Criteria_2,Product_Number_Other,SKU_Criteria_1,SKU_Criteria_2,SKU_Criteria_3,SKU_Criteria_4,SKU,Inventory_Link,Inventory_Status,Inventory_Quantity,IsHazmat,IsCloseOut,Related_Products,Distributor_View_Only,Carrier_Information,Item_Weight,Warranty,Battery,Market_Segment,Industry_Segment,SEO_FLG,UPC_Code,Additional_Imprint_Information,Item_Assembled,Delivery_Option,Do_Not_Use,Product_Status,Workflow_Status,DoNotUse_Workflow_Status_Reason,Operation,Product_Effective_Date,Product_End_Date,Last_Updated_Date
,Mini Portable Power Bank ,IMGTEST1,https://images15.fotki.com/v1685/photos/2/4164902/16534321/DM0003-vi.jpg,,,,,Unspecified ,,"Come and Check Our Branding Solutions£¡Fashion vivid color design & lightweight & easy to carry around, power bank and rechargeable. Plug and Play, power output using the USB port, plug the data cable to achieve portable, ready to charge. Compatible with any USB cable, ONLY USB-micro USB cable included, you will need your own charge cable that compatible with your device. Pls check inventory 
and detailed info before placing your orders!",Mini Portable Power Bank ,,,Electronics & Tech Products,"Battery Rechargers & Adaptors-Power Banks,Mobile Accessories-General",, ,"Medium White=White,Medium Black=Black,Medium Gray=Gray,Medium Blue=Blue,Medium Purple=Purple,Medium Red=Red,Medium Orange=Orange,Medium Brown=Brown",Other=Abs ,Other,0.86 " x 0.94 " x 3.78 " , , ,,CHINA,,,,,,,Other=Laser/Silkscreen ,,,Up to 2 colors ,Y ,, , ,,,,,15-25,Y ,13:,,"Case,Poly Bag ",50:per Case ,18.11:in;16.54:in;12.99:in,,,,,Y ,,,,,,,,,,,,,,100,500,1000,5000,10000,,,,,,6.45,5.25,4.62,4,3.38,,,,,,R ,R ,R ,R ,R ,R ,R ,R ,R ,R ,,"One color,one side,one location printing. ",,1,USD ,N ,,List ,Silkscreen ,IMMD:Silkscreen , ,Set-up Charge ,Per Order ,Required ,1,,,,,,,,,,60,,,,,,,,,,Z ,,,,,,,,,,"One color,one side,one location printing. ",,,,,,,,,,,,,,,,,Y,"FedEx International Priority,UPS Worldwide Expedited,UPS Worldwide Express ",,,,"CANALL,USAALL ",,N,,,Unspecified ,E-commerce ready ,,Active ,None ,None ,,,,
,Silicone Travel Shampoo Portable Refillable Bottle ,IMGTEST2,https://images12.fotki.com/v1686/photos/2/4164902/16534321/TC0004-vi.jpg,,,,,Unspecified ,,"Come and Check Our Branding Solutions£¡This translucent bottle is constructed with leak-proof bottle collar and an anti-drip bottle cap, separated bottles with holes that is very convenient to hang on. The squeezable silicone travel bottle is a multi-purpose refillable liquid container that is absolutely a must have for travelers, for those love the outdoors, and definitely for those with kids. Easily into pockets and bags, portable for a business trip or vacation, tourism, camping, picnics, beach activities, and everyday carry. Perfect for containing shampoo, conditioner, body wash, lotion and more. This is small volum 1.3oz, also has other two big volum 2.0oz and 3.0oz bottle available. It can be equipped with clasp according to customer needs. Pls check inventory 
and detailed info before placing your orders!",Silicone Travel Shampoo Portable Refillable Bottle ,,,Drinkware,"Bottles-General,TRAVEL AMENITIES",, ,"Medium White=White,Medium Black=Black,Medium Gray=Gray,Medium Blue=Blue,Medium Purple=Purple,Medium Red=Red,Medium Orange=Orange,Medium Brown=Brown",Other=Silicone ,Other,3.35 " x 1.7 " x 1.3 " , , ,,CHINA,,,,,,,Other=Laser/Silkscreen ,,,Up to 2 colors ,Y ,, , ,,,,,15-25,Y ,13:,,"Case,Poly Bag ",50:per Case ,18.11:in;16.54:in;12.99:in,,,,,Y ,,,,,,,,,,,,,,100,400,2000,4000,12000,,,,,,6.23,5.4,3.78,3.23,2.18,,,,,,R ,R ,R ,R ,R ,R ,R ,R ,R ,R ,,"One color,one side,one location printing. ",,1,USD ,N ,,List ,Silkscreen ,IMMD:Silkscreen , ,Set-up Charge ,Per Order ,Required ,1,,,,,,,,,,60,,,,,,,,,,Z ,,,,,,,,,,"One color,one side,one location printing. ",,,,,,,,,,,,,,,,,Y,"FedEx International Priority,UPS Worldwide Expedited,UPS Worldwide Express ",,,,"CANALL,USAALL ",,N,,,Unspecified ,E-commerce ready ,,Active ,None ,None ,,,,
,Outdoor Collapsible Water Bottle ,IMGTEST3,https://images14.fotki.com/v1683/photos/2/4164902/16534321/TC0005-vi.jpg,,,,,Unspecified ,,"Come and Check Our Branding Solutions£¡Always stay hydrated with AP outdoor's collapsible water bottle. Store up to 20 oz (600 ml) of water for your outdoor getaways, workout sessions, and hiking trips! Your new lightweight bottle collapses to 4"" for compact use. The multi-purpose utility strap can also be used other than folding such as attaching towels, phones, and more. We are sure that your new water bottles have a secure and tight lid. In addition, the built-in straw can be firmly snapped close for zero spillage. Pls check inventory 
and detailed info before placing your orders!",Outdoor Collapsible Water Bottle ,,,Drinkware,"Bottles-Collapsible,Bottles-Sport Type",, ,"Medium White=White,Medium Black=Black,Medium Gray=Gray,Medium Blue=Blue,Medium Purple=Purple,Medium Red=Red,Medium Orange=Orange,Medium Brown=Brown",Other=Abs ,Other,20 " , , ,,CHINA,,,,,,,Other=Laser/Silkscreen ,,,Up to 2 colors ,Y ,, , ,,,,,15-25,Y ,13:,,"Case,Poly Bag ",50:per Case ,18.11:in;16.54:in;12.99:in,,,,,Y ,,,,,,,,,,,,,,100,500,1000,5000,10000,,,,,,15.42,14.88,14.07,12.72,11.63,,,,,,R ,R ,R ,R ,R ,R ,R ,R ,R ,R ,,"One color,one side,one location printing. ",,1,USD ,N ,,List ,Silkscreen ,IMMD:Silkscreen , ,Set-up Charge ,Per Order ,Required ,1,,,,,,,,,,60,,,,,,,,,,Z ,,,,,,,,,,"One color,one side,one location printing. ",,,,,,,,,,,,,,,,,Y,"FedEx International Priority,UPS Worldwide Expedited,UPS Worldwide Express ",,,,"CANALL,USAALL ",,N,,,Unspecified ,E-commerce ready ,,Active ,None ,None ,,,,
,500W Mini Desk Heater For Home & Office ,IMGTEST4,https://images15.fotki.com/v1685/photos/2/4164902/16534321/IL0006-vi.jpg,,,,,Unspecified ,,"Come and Check Our Branding Solutions£¡This Mini Heater is of unique design, the invisiable heating blader and chic outlook makes it perfectly match your home & office, it's your ideal gift for the winter. The heater has 9-gardes of tempreture options, you could easily adjust it to the best tempreture under different enviroment. The machine will automaticlly shut-off after sucesscively working 8 hours in case you leave without closing it. Custom logo is welcomed. Pls check inventory 
and detailed info before placing your orders!",500W Mini Desk Heater For Home & Office ,,,Electronics & Tech Products,HEATERS,, ,"Medium White=White,Medium Black=Black,Medium Gray=Gray,Medium Blue=Blue,Medium Purple=Purple,Medium Red=Red,Medium Orange=Orange,Medium Brown=Brown",Other=Abs ,Other,7 " x 5.9 " x 4.7 " , , ,,CHINA,,,,,,,Other=Laser/Silkscreen ,,,Up to 2 colors ,Y ,, , ,,,,,15-25,Y ,13:,,"Case,Poly Bag ",50:per Case ,18.11:in;16.54:in;12.99:in,,,,,Y ,,,,,,,,,,,,,,50,100,300,500,1000,,,,,,53.58,51.7,50.55,48.98,46.3,,,,,,R ,R ,R ,R ,R ,R ,R ,R ,R ,R ,,"One color,one side,one location printing. ",,1,USD ,N ,,List ,Silkscreen ,IMMD:Silkscreen , ,Set-up Charge ,Per Order ,Required ,1,,,,,,,,,,60,,,,,,,,,,Z ,,,,,,,,,,"One color,one side,one location printing. ",,,,,,,,,,,,,,,,,Y,"FedEx International Priority,UPS Worldwide Expedited,UPS Worldwide Express ",,,,"CANALL,USAALL ",,N,,,Unspecified ,E-commerce ready ,,Active ,None ,None ,,,,
,Premium Rv Hose Storage Bag Organizer ,IMGTEST5,https://images20.fotki.com/v1638/photos/2/4164902/16534321/JZ0007-vi.jpg,,,,,Unspecified ,,"Come and Check Our Branding Solutions£¡RV water hose storage bag dimensions are 18 inches x 10 inches giving you plenty of space for even the longest of hoses. There's even room to store your electrical cable adapters, RV dog bones, surge protectors and more. Pls check inventory 
and detailed info before placing your orders!",Premium Rv Hose Storage Bag Organizer ,,,Storage & Organization,"Bags-Drawstring,TOOL KITS",, ,"Medium White=White,Medium Black=Black,Medium Gray=Gray,Medium Blue=Blue,Medium Purple=Purple,Medium Red=Red,Medium Orange=Orange,Medium Brown=Brown",Other=Nylon ,Other,13 " x 8.97 " x 28.94 " , , ,,CHINA,,,,,,,Other=Laser/Silkscreen ,,,Up to 2 colors ,Y ,, , ,,,,,15-25,Y ,13:,,"Case,Poly Bag ",50:per Case ,18.11:in;16.54:in;12.99:in,,,,,Y ,,,,,,,,,,,,,,200,400,1000,5000,20000,,,,,,48.75,30.98,28.25,26.5,24.5,,,,,,R ,R ,R ,R ,R ,R ,R ,R ,R ,R ,,"One color,one side,one location printing. ",,1,USD ,N ,,List ,Silkscreen ,IMMD:Silkscreen , ,Set-up Charge ,Per Order ,Required ,1,,,,,,,,,,60,,,,,,,,,,Z ,,,,,,,,,,"One color,one side,one location printing. ",,,,,,,,,,,,,,,,,Y,"FedEx International Priority,UPS Worldwide Expedited,UPS Worldwide Express ",,,,"CANALL,USAALL ",,N,,,Unspecified ,E-commerce ready ,,Active ,None ,None ,,,,
,Beach Blanket Sand Picnic Mat 83"X79" for Outdoor ,IMGTEST11,https://images14.fotki.com/v1683/photos/2/4164902/16534321/LT0008-vi.jpg,,,,,Unspecified ,,"Come and Check Our Branding Solutions£¡Make it a picnic or enjoy a day at the beach with this colorful blanket mat. This 82 6/8"" x 78 6/8"" mat is made of waterproof and tear resistant polyester material that dries quickly and repels sand -- and is easy to clean and maintain. Included are four ground stakes to secure the mat in sand, soil and other surfaces. The drawstring storage bag makes for perfect portability. Available in assorted colors. Add your school, sports team, organizational or company logo or message through our signature silkscreen process to customize. Pls check inventory 
and detailed info before placing your orders!",Beach Blanket Sand Picnic Mat 83"X79" for Outdoor ,,,"Sports, Fitness, & Outdoors","BLANKETS,Mats-General",, ,"Medium White=White,Medium Black=Black,Medium Gray=Gray,Medium Blue=Blue,Medium Purple=Purple,Medium Red=Red,Medium Orange=Orange,Medium Brown=Brown",Other=Polyester ,Other,82 6/8 " x 78 6/8 " , , ,,CHINA,,,,,,,Other=Laser/Silkscreen ,,,Up to 2 colors ,Y ,, , ,,,,,15-25,Y ,13:,,"Case,Poly Bag ",50:per Case ,18.11:in;16.54:in;12.99:in,,,,,Y ,,,,,,,,,,,,,,50,300,500,1000,3000,,,,,,17.5,17,16.75,16.25,10,,,,,,R ,R ,R ,R ,R ,R ,R ,R ,R ,R ,,"One color,one side,one location printing. ",,1,USD ,N ,,List ,Silkscreen ,IMMD:Silkscreen , ,Set-up Charge ,Per Order ,Required ,1,,,,,,,,,,60,,,,,,,,,,Z ,,,,,,,,,,"One color,one side,one location printing. ",,,,,,,,,,,,,,,,,Y,"FedEx International Priority,UPS Worldwide Expedited,UPS Worldwide Express ",,,,"CANALL,USAALL ",,N,,,Unspecified ,E-commerce ready ,,Active ,None ,None ,,,,
,Resistance Bands and Sliders Sets ,IMGTEST12,https://images15.fotki.com/v1685/photos/2/4164902/16534321/BZ0009-vi.jpg,,,,,Unspecified ,,"Come and Check Our Branding Solutions£¡Come with 5 different levels of resistance loops and 2 pack exercise sliders, used separately or together for a full-body workout like strengthen core, arms, shoulder, legs and 80-day obsession. Double-sided gliding discs are perfect for both carpet and tile floor, it's able to tamper your muscles anywhere. The loops and discs are lightweight and we provide a drawstring bag for you, very portable to carry. Use these sliding discs for lunges, squats and upper body movements to exercise your tummy, legs or arms, good for full-body working out. Made by natural latex (TPE free), has different levels of strength and you can increase the intensity of your workout gradually. Improve muscle in arms, legs, ankles, back & buttocks without need for expensive gym memberships or exercise equipment. Pls check inventory 
and detailed info before placing your orders!",Resistance Bands and Sliders Sets ,,,Apparel & Outerwear,"EXERCISE EQUIPMENT,Sports Equipment & Access.-General",, ,"Medium White=White,Medium Black=Black,Medium Gray=Gray,Medium Blue=Blue,Medium Purple=Purple,Medium Red=Red,Medium Orange=Orange,Medium Brown=Brown",Other=Silicone ,Other,7 1/8 " x 7 1/8 " x 6/8 " , , ,,CHINA,,,,,,,Other=Laser/Silkscreen ,,,Up to 2 colors ,Y ,, , ,,,,,15-25,Y ,13:,,"Case,Poly Bag ",50:per Case ,18.11:in;16.54:in;12.99:in,,,,,Y ,,,,,,,,,,,,,,50,300,500,1000,3000,,,,,,20.25,19.5,18.75,18,11.25,,,,,,R ,R ,R ,R ,R ,R ,R ,R ,R ,R ,,"One color,one side,one location printing. ",,1,USD ,N ,,List ,Silkscreen ,IMMD:Silkscreen , ,Set-up Charge ,Per Order ,Required ,1,,,,,,,,,,60,,,,,,,,,,Z ,,,,,,,,,,"One color,one side,one location printing. ",,,,,,,,,,,,,,,,,Y,"FedEx International Priority,UPS Worldwide Expedited,UPS Worldwide Express ",,,,"CANALL,USAALL ",,N,,,Unspecified ,E-commerce ready ,,Active ,None ,None ,,,,
,Tent Lamp Portable LED Light ,IMGTEST13,https://images49.fotki.com/v1680/photos/2/4164902/16534321/LT0010-vi.jpg,,,,,Unspecified ,,"Come and Check Our Branding Solutions£¡Palm-sized(5.7 X 2.1 inch) portable led tent light, takes up very little room, easy to carry and grip for kids. Powered by 3 x AAA alkaline batteries (Not Included), lighting time up to 10-15 hours in high-light mode.
Each battery operated camping lights built-in 3 LED tent lamps beads, camp night light easily illuminate the whole campsite.
The LED tent light bulbs comes with 3 light modes: HIGH / LOW / Strobe.
IPX8 water-resistant & crafted from super-durable ABS plastic. With anti falling carabiner stroller hook design.
Our camp tent lights also used as decorative indoor lights, night lights, battery operated lights, as a useful handy aid while you're working, studying, or reading a book just before you go to sleep! "" Pls check inventory 
and detailed info before placing your orders!",Tent Lamp Portable LED Light ,,,Tools & Hardware,"LAMPS,LIGHT BULBS",, ,"Medium White=White,Medium Black=Black,Medium Gray=Gray,Medium Blue=Blue,Medium Purple=Purple,Medium Red=Red,Medium Orange=Orange,Medium Brown=Brown",Other=Abs ,Other,Standard , , ,,CHINA,,,,,,,Other=Laser/Silkscreen ,,,Up to 2 colors ,Y ,, , ,,,,,15-25,Y ,13:,,"Case,Poly Bag ",50:per Case ,18.11:in;16.54:in;12.99:in,,,,,Y ,,,,,,,,,,,,,,240,500,1000,3000,5000,,,,,,5,4.5,4.25,4,3.75,,,,,,R ,R ,R ,R ,R ,R ,R ,R ,R ,R ,,"One color,one side,one location printing. ",,1,USD ,N ,,List ,Silkscreen ,IMMD:Silkscreen , ,Set-up Charge ,Per Order ,Required ,1,,,,,,,,,,60,,,,,,,,,,Z ,,,,,,,,,,"One color,one side,one location printing. ",,,,,,,,,,,,,,,,,Y,"FedEx International Priority,UPS Worldwide Expedited,UPS Worldwide Express ",,,,"CANALL,USAALL ",,N,,,Unspecified ,E-commerce ready ,,Active ,None ,None ,,,,
,Solid Color Drawstring Backpack ,IMGTEST14,https://images14.fotki.com/v1683/photos/2/4164902/16534321/CZ0011-vi.jpg,,,,,Unspecified ,,"Come and Check Our Branding Solutions£¡This drawstring backpack is made of 210D polyester with adjustable soft nylon drawstrings that double as a drawstring closure.It is big enough to carry a pair of shoes,bottle,basketball,an umbrella,a few books,lunch or clothing.Can serve as a traditional backpack,gym bag,travel cinch bag,also can provide as bags when you go to schools and supermarkets,suitable for home storage,with drawstring,can hold the inside items well. Pls check inventory 
and detailed info before placing your orders!",Solid Color Drawstring Backpack ,,,Bags & Luggage,Bags-Drawstring,, ,"Medium White=White,Medium Black=Black,Medium Gray=Gray,Medium Blue=Blue,Medium Purple=Purple,Medium Red=Red,Medium Orange=Orange,Medium Brown=Brown",Other=Polyester ,Other,17 " x 13.4 " , , ,,CHINA,,,,,,,Other=Laser/Silkscreen ,,,Up to 2 colors ,Y ,, , ,,,,,15-25,Y ,13:,,"Case,Poly Bag ",50:per Case ,18.11:in;16.54:in;12.99:in,,,,,Y ,,,,,,,,,,,,,,100,500,1000,2000,5000,,,,,,2.93,2.43,2.18,1.92,1.68,,,,,,R ,R ,R ,R ,R ,R ,R ,R ,R ,R ,,"One color,one side,one location printing. ",,1,USD ,N ,,List ,Silkscreen ,IMMD:Silkscreen , ,Set-up Charge ,Per Order ,Required ,1,,,,,,,,,,60,,,,,,,,,,Z ,,,,,,,,,,"One color,one side,one location printing. ",,,,,,,,,,,,,,,,,Y,"FedEx International Priority,UPS Worldwide Expedited,UPS Worldwide Express ",,,,"CANALL,USAALL ",,N,,,Unspecified ,E-commerce ready ,,Active ,None ,None ,,,,
,Waterproof Travel Storage Shoes Bag Pouch ,IMGTEST15,https://images15.fotki.com/v1685/photos/2/4164902/16534321/TC0012-vi.jpg,,,,,Unspecified ,,"Come and Check Our Branding Solutions£¡Size: 11.81"" L x 8.66"" W x 5.91"" H can hold up to Size 9 shoes. It is large enough for most shoes size of Men and Women. Shoes Storage bag can protect most shoes size and material including leather, dance, golf, soccer, gym and more. Keep your shoes separate from clothes and in great condition while traveling.
Made of high-quality Oxford cloth, Durable Waterproof and Dustproof material. Mesh design gives you more choices to keep items breathable and hygienic. Smooth two ways zipper for easy opening.
You can also use it as a packing cube, toiletry bag, makeup bag, laundry pouch, gym package and for other use. It can store various items to meet different travel needs. It is a perfect organizer item to put in your suitcase on any business or family trip. Pls check inventory 
and detailed info before placing your orders!",Waterproof Travel Storage Shoes Bag Pouch ,,,Storage & Organization,"SPECIAL PACKAGING,Tote Bags-General",, ,"Medium White=White,Medium Black=Black,Medium Gray=Gray,Medium Blue=Blue,Medium Purple=Purple,Medium Red=Red,Medium Orange=Orange,Medium Brown=Brown",Other=Oxford ,Other,8.66 " x 5.91 " x 11.81 " , , ,,CHINA,,,,,,,Other=Laser/Silkscreen ,,,Up to 2 colors ,Y ,, , ,,,,,15-25,Y ,13:,,"Case,Poly Bag ",50:per Case ,18.11:in;16.54:in;12.99:in,,,,,Y ,,,,,,,,,,,,,,50,500,1000,5000,30000,,,,,,22.47,21.98,21.48,20.48,18.23,,,,,,R ,R ,R ,R ,R ,R ,R ,R ,R ,R ,,"One color,one side,one location printing. ",,1,USD ,N ,,List ,Silkscreen ,IMMD:Silkscreen , ,Set-up Charge ,Per Order ,Required ,1,,,,,,,,,,60,,,,,,,,,,Z ,,,,,,,,,,"One color,one side,one location printing. ",,,,,,,,,,,,,,,,,Y,"FedEx International Priority,UPS Worldwide Expedited,UPS Worldwide Express ",,,,"CANALL,USAALL ",,N,,,Unspecified ,E-commerce ready ,,Active ,None ,None ,,,,
